,Star Name,Distance,Mass,Radius
112,CFBDS J150411+102717,71.0,2.51056644e-35,1.3050901e-12
113,2MASSW J1506544+132106 [de],46.0,3.9519943200000004e-35,1.4181294e-12
114,2MASS 1507−1627,23.9,3.4365168000000003e-35,1.3667479e-12
115,TVLM 868-110639,53.0,4.52474712e-35,1.5003398e-12
116,2MASSW J1515008+484742 [de],34.0,3.26469096e-35,1.3667479e-12
117,2MASSI J1526140+204341 [de],67.0,3.0833192400000004e-35,1.3564715999999999e-12
118,DENIS-P J153941.96-052042.4 [de],51.0,3.59879676e-35,1.3770242e-12
119,2MASS J15462718-3325111 [de],37.0,2.51056644e-35,1.3050901e-12
120,2MASSW J1552591+294849 [de],68.0,1.7182584000000001e-35,1.9833259e-12
121,2MASSW J1555157-095605 [de],44.0,4.06654488e-35,1.4284057e-12
122,2MASS J16150413+1340079 [de],48.0,2.40556176e-35,1.3050901e-12
123,SDSSp J162414.37+002915.6 [de],36.0,2.46283704e-35,1.3050901e-12
124,2MASS J16262034+3925190 [de],110.0,4.06654488e-35,1.4284057e-12
125,2MASSW J1632291+190441 [de],50.0,2.8064887200000007e-35,1.3461953e-12
126,WISEPA J164715.59+563208.2,28.0,2.34828648e-35,1.3050901e-12
127,LSPM J1658+7027 [de],60.0,4.1715495600000007e-35,1.4386819999999998e-12
128,2MASSI J1726000+153819,114.0,1.37460672e-35,1.9422206999999998e-12
129,SDSSp J175032.96+175903.9,90.0,2.69193816e-35,1.3461953e-12
130,2MASS J18283572-4849046,39.0,2.5773876000000006e-35,1.3153664e-12
131,LSR J1835+3259,18.5,4.4101965600000005e-35,1.4900634999999998e-12
132,2MASSW J1841086+311727,138.0,3.8374437600000004e-35,1.3975768e-12
133,2MASS J18432213+4040209,46.0,5.49842688e-35,1.6955895e-12
134,2MASS J20004841-7523070,105.0,1.4223361200000003e-35,2.5999038999999997e-12
135,SDSS J204749.61-071818.3,65.0,2.63466288e-35,1.3256427e-12
136,2MASSI J2057540-025230,47.0,4.0092696000000004e-35,1.4181294e-12
137,2MASSI J2104149-103736,62.0,3.9519943200000004e-35,1.4181294e-12
138,PSO J318.5−22,80.0,3.7228932e-36,2.1169177999999998e-12
